Fuente,Titulo,URL,Titulo_Limpio,Sentimiento,Polaridad
El Comercio,Revolución Ciudadana busca impugnar resultados de la segunda vuelta: ¿qué caminos tiene?CNE negó los reclamos de Revolución Ciudadana sobre las actas de la segunda vuelta presidencial de 2025..hace 1 día,https://www.elcomercio.com/actualidad/politica/revolucion-ciudadana-resultados-impugnar-segunda-vuelta.html,Revolución Ciudadana busca impugnar resultados de la segunda vuelta: ¿qué caminos tiene?CNE negó los reclamos de Revolución Ciudadana sobre las actas de la segunda vuelta presidencial de 2025.hace 1 día,Neutro,0.0
El Comercio,"CNE no proclama resultados de la segunda vuelta por nuevos reclamos de la Revolución CiudadanaEste martes, 22 de marzo de 2025, el Pleno del Consejo Nacional Electoral (CNE) reinstaló la audiencia pública de escrutinio de la segunda....hace 4 días",https://www.elcomercio.com/elecciones/cne-no-proclama-resultados-segunda-vuelta-nuevos-reclamos-revolucion-ciudadana.html,"CNE no proclama resultados de la segunda vuelta por nuevos reclamos de la Revolución CiudadanaEste martes, 22 de marzo de 2025, el Pleno del Consejo Nacional Electoral (CNE) reinstaló la audiencia pública de escrutinio de la segunda.hace 4 días",Neutro,0.0
El Comercio,CNE negó pedido de Revolución Ciudadana y proclamó resultados numéricos de segunda vueltaEl Pleno del Consejo Nacional Electoral (CNE) negó este 24 de abril de 2025 la reclamación presentada por la alianza Revolución....hace 2 días,https://www.elcomercio.com/actualidad/politica/cne-rechaza-pedido-revolucion-ciudadana-proclama-daniel-noboa-como-ganador.html,CNE negó pedido de Revolución Ciudadana y proclamó resultados numéricos de segunda vueltaEl Pleno del Consejo Nacional Electoral (CNE) negó este 24 de abril de 2025 la reclamación presentada por la alianza Revolución.hace 2 días,Neutro,0.0
El Comercio,"Provincias de Ecuador tuvieron un giro entre la primera y segunda vueltaLa segunda vuelta presidencial en Ecuador, celebrada el pasado 13 de abril de 2025, mostró variaciones importantes en las provincias en el....hace 1 día",https://www.elcomercio.com/actualidad/politica/asifue-giro-electoral-provincias-ecuador-primera-segunda-vuelta.html,"Provincias de Ecuador tuvieron un giro entre la primera y segunda vueltaLa segunda vuelta presidencial en Ecuador, celebrada el pasado 13 de abril de 2025, mostró variaciones importantes en las provincias en el.hace 1 día",Neutro,0.0
El Comercio,¿Qué falta para proclamar resultados oficiales de la segunda vuelta electoral?El Consejo Nacional Electoral (CNE) aprobó este 24 de abril de 2025 los resultados numéricos de las elecciones presidenciales del 13 de....hace 2 días,https://www.elcomercio.com/actualidad/politica/que-falta-proclamar-resultados-oficiales-segunda-vuelta.html,¿Qué falta para proclamar resultados oficiales de la segunda vuelta electoral?El Consejo Nacional Electoral (CNE) aprobó este 24 de abril de 2025 los resultados numéricos de las elecciones presidenciales del 13 de.hace 2 días,Neutro,0.0
El Comercio,"Observadores internacionales, organismos presentes y su evaluación en las elecciones 2025Misiones de la OEA y la UE observan las elecciones 2025 en Ecuador y destacan la normalidad y transparencia del proceso en las elecciones....9 feb 2025",https://www.elcomercio.com/elecciones/observadores-internacionales-organismos-evaluacion-elecciones-2025.html,"Observadores internacionales, organismos presentes y su evaluación en las elecciones 2025Misiones de la OEA y la UE observan las elecciones 2025 en Ecuador y destacan la normalidad y transparencia del proceso en las elecciones.9 feb 2025",Neutro,0.0
El Comercio,"Nicolás Maduro insiste en que hubo un ‘tremendo fraude’ electoral en EcuadorNicolás Maduro reiteró este jueves 24 de abril de 2025 que hubo un “tremendo fraude” electoral en Ecuador, en la segunda vuelta presidencial....hace 1 día",https://www.elcomercio.com/actualidad/mundo/nicolas-maduro-insiste-tremendo-fraude-electoral-ecuador.html,"Nicolás Maduro insiste en que hubo un ‘tremendo fraude’ electoral en EcuadorNicolás Maduro reiteró este jueves 24 de abril de 2025 que hubo un “tremendo fraude” electoral en Ecuador, en la segunda vuelta presidencial.hace 1 día",Neutro,0.0
El Comercio,"Ivonne Núñez, ministra de Trabajo, puso su cargo a disposición de Daniel NoboaLa ministra de Trabajo, Ivonne Núñez, puso su cargo a disposición del presidente Daniel Noboa, este miércoles 23 de abril de 2025..hace 2 días",https://www.elcomercio.com/actualidad/politica/ivonne-nunez-ministra-trabajo-cargo-disposicion-daniel-noboa.html,"Ivonne Núñez, ministra de Trabajo, puso su cargo a disposición de Daniel NoboaLa ministra de Trabajo, Ivonne Núñez, puso su cargo a disposición del presidente Daniel Noboa, este miércoles 23 de abril de 2025.hace 2 días",Neutro,0.0
El Comercio,"Daniel Noboa vetó totalmente el proyecto de Ley del Servicio Cívico Militar Voluntario; estas son las razonesEl proyecto de Ley de Servicio Cívico Militar Voluntario, vetado por Daniel Noboa, fue aprobado por unanimidad en la Asamblea el pasado 18....hace 5 días",https://www.elcomercio.com/actualidad/politica/daniel-noboa-veto-totalmente-proyecto-ley-servicio-civico-militar-voluntario.html,"Daniel Noboa vetó totalmente el proyecto de Ley del Servicio Cívico Militar Voluntario; estas son las razonesEl proyecto de Ley de Servicio Cívico Militar Voluntario, vetado por Daniel Noboa, fue aprobado por unanimidad en la Asamblea el pasado 18.hace 5 días",Neutro,0.0
El Comercio,Posibles atentados contra Daniel Noboa se conocieron dos días antes de las eleccionesLa Casa Militar Presidencial reveló las acciones criminales que planificaban los grupos armados organizados en contra del presidente Daniel....hace 6 días,https://www.elcomercio.com/actualidad/politica/posibles-atentados-daniel-noboa-conocieron-antes-elecciones-2025.html,Posibles atentados contra Daniel Noboa se conocieron dos días antes de las eleccionesLa Casa Militar Presidencial reveló las acciones criminales que planificaban los grupos armados organizados en contra del presidente Daniel.hace 6 días,Neutro,0.0
El Comercio,"Daniel Noboa define comitiva para gira oficial por Europa, Asia y Oriente MedioEl presidente Daniel Noboa firmó el Decreto Ejecutivo número 612 en el que se declara en comisión de servicios a la comitiva oficial que lo....hace 2 días",https://www.elcomercio.com/actualidad/politica/daniel-noboa-define-comitiva-gira-oficial-europa-oriente-medio.html,"Daniel Noboa define comitiva para gira oficial por Europa, Asia y Oriente MedioEl presidente Daniel Noboa firmó el Decreto Ejecutivo número 612 en el que se declara en comisión de servicios a la comitiva oficial que lo.hace 2 días",Neutro,0.0
